fold,model,metric,value
1,TabPFN,auroc,0.8214285714285714
2,TabPFN,auroc,0.98
3,TabPFN,auroc,0.9387755102040816
1,LogisticRegression,auroc,0.7857142857142857
2,LogisticRegression,auroc,1.0
3,LogisticRegression,auroc,0.9183673469387756
1,RandomForestClassifier,auroc,0.8392857142857143
2,RandomForestClassifier,auroc,1.0
3,RandomForestClassifier,auroc,0.9591836734693876
1,SVC,auroc,0.75
2,SVC,auroc,0.98
3,SVC,auroc,0.9183673469387754
1,MLPClassifier,auroc,0.7678571428571428
2,MLPClassifier,auroc,0.8200000000000001
3,MLPClassifier,auroc,0.9591836734693878
1,TabPFN,auprc,0.8791666666666667
2,TabPFN,auprc,0.9666666666666666
3,TabPFN,auprc,0.9571428571428572
1,LogisticRegression,auprc,0.8260281385281385
2,LogisticRegression,auprc,1.0
3,LogisticRegression,auprc,0.9325396825396824
1,RandomForestClassifier,auprc,0.8867424242424242
2,RandomForestClassifier,auprc,1.0
3,RandomForestClassifier,auprc,0.968253968253968
1,SVC,auprc,0.8017857142857143
2,SVC,auprc,0.9666666666666666
3,SVC,auprc,0.9367346938775508
1,MLPClassifier,auprc,0.8253787878787879
2,MLPClassifier,auprc,0.7642857142857142
3,MLPClassifier,auprc,0.9617346938775508
