fold,model,metric,value
1,TabPFN,auroc,0.8166666666666667
2,TabPFN,auroc,0.9038461538461539
3,TabPFN,auroc,0.8333333333333334
1,TabPFN,auprc,0.9280464905464906
2,TabPFN,auprc,0.974587912087912
3,TabPFN,auprc,0.8868650793650793
1,LogisticRegression,auroc,0.8833333333333333
2,LogisticRegression,auroc,0.9038461538461539
3,LogisticRegression,auroc,0.8500000000000001
1,LogisticRegression,auprc,0.9566239316239317
2,LogisticRegression,auprc,0.9723443223443224
3,LogisticRegression,auprc,0.8923595848595849
1,RandomForestClassifier,auroc,0.8083333333333333
2,RandomForestClassifier,auroc,0.7307692307692308
3,RandomForestClassifier,auroc,0.9166666666666666
1,RandomForestClassifier,auprc,0.9176298238798237
2,RandomForestClassifier,auprc,0.9119332590486435
3,RandomForestClassifier,auprc,0.9511111111111111
1,SVC,auroc,0.9333333333333333
2,SVC,auroc,0.8076923076923077
3,SVC,auroc,0.8166666666666667
1,SVC,auprc,0.9763888888888889
2,SVC,auprc,0.9508353637312914
3,SVC,auprc,0.8786832611832611
1,MLPClassifier,auroc,0.7833333333333333
2,MLPClassifier,auroc,0.8846153846153846
3,MLPClassifier,auroc,0.65
1,MLPClassifier,auprc,0.905725061975062
2,MLPClassifier,auprc,0.9589457550996012
3,MLPClassifier,auprc,0.782886002886003
